outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
liver_condition_binary,Liver Condition,LBXPLTSI,Platelet Count (10^3/uL),LBXSKSI,Potassium (mmol/L),Ratio,4896,269.0,-0.31131632559181915,6.856951452790215e-06,2066.3878342916723,-0.30954672730496424,8.008031782949648e-06,2066.723547549243,0.048149581807418185,0.4386406654183197,2087.332566896391,1.1678705672753507,0.33571325757066006
depression_binary,Depression,diastolic_bp,Diastolic BP (mmHg),BMXWAIST,Waist Circumference (cm),Difference,772,392.0,-0.15085866858609923,0.037905333685451265,1069.6858613139027,-0.036336402375309725,0.6141601749081432,1073.7784142603796,0.14493571039461492,0.045998715805211775,1070.0186873075777,1.2135156542063865,0.33282599367498733
depression_binary,Depression,BMXWAIST,Waist Circumference (cm),diastolic_bp,Diastolic BP (mmHg),Difference,772,392.0,0.15085866858609923,0.037905333685451265,1069.6858613139027,0.14493571039461492,0.045998715805211775,1070.0186873075777,-0.036336402375309725,0.6141601749081432,1073.7784142603796,1.2135156542063865,0.33282599367498733
diabetes_binary,Diabetes,LBXSAL,Albumin (g/dL),LBXTR,Triglycerides (mg/dL),Difference,2822,410.0,-0.3893769414185722,2.2351183373807313e-11,2288.1123640374144,-0.34568145700478653,3.533867968618614e-11,2299.378885611077,0.38792984433877103,2.5484314622364387e-11,2288.4378556636575,1.1401774213095446,0.32549162624309247
diabetes_binary,Diabetes,LBXTR,Triglycerides (mg/dL),LBXSAL,Albumin (g/dL),Difference,2822,410.0,0.3893769414185722,2.2351183373807313e-11,2288.1123640374144,0.38792984433877103,2.5484314622364387e-11,2288.4378556636575,-0.34568145700478653,3.533867968618614e-11,2299.378885611077,1.1401774213095446,0.32549162624309247
stroke_binary,Stroke,LBXGLU,Fasting Glucose (mg/dL),LBXSCA,Calcium (mg/dL),Ratio,2381,114.0,0.1750348671526066,0.014922389801624449,914.4093612623852,0.17026014235453943,0.018858184370844196,914.7312984910027,-0.03369866288936256,0.7260325757794915,919.2392583361559,1.2637509555467648,0.32193722861745755
thyroid_binary,Thyroid Problem,LBXSCA,Calcium (mg/dL),diastolic_bp,Diastolic BP (mmHg),Difference,4669,568.0,0.12777696594676238,0.0032911286202381004,3452.5151280298155,0.09174362247534161,0.03964700775473168,3456.7677856519626,-0.12536740185143938,0.003944600630309814,3452.836293110395,1.1985555976309543,0.3211650805797035
thyroid_binary,Thyroid Problem,diastolic_bp,Diastolic BP (mmHg),LBXSCA,Calcium (mg/dL),Difference,4669,568.0,-0.12777696594676238,0.0032911286202381004,3452.5151280298155,-0.12536740185143938,0.003944600630309814,3452.836293110395,0.09174362247534161,0.03964700775473168,3456.7677856519626,1.1985555976309543,0.3211650805797035
hypertension_binary,Hypertension,LBDHDD,HDL Cholesterol (mg/dL),LBXSNASI,Sodium (mmol/L),Ratio,5407,1900.0,-0.08597091345658234,0.0031602314719680925,7005.933118666146,-0.08438654386055885,0.0037383390022219204,7006.248740546838,0.03291896319547842,0.24863272865074781,7013.456550241348,1.1829320210819243,0.3156218806925608
thyroid_binary,Thyroid Problem,LBXSKSI,Potassium (mmol/L),LBXSASSI,AST Liver Enzyme (U/L),Difference,4887,597.0,0.1265364785720052,0.02683411045208677,3626.360225498853,0.0881951832375448,0.040895909519531745,3628.043698428718,-0.12242878708344664,0.030904886857603522,3626.6746437802194,1.151701559579747,0.3144182813662155
thyroid_binary,Thyroid Problem,LBXSASSI,AST Liver Enzyme (U/L),LBXSKSI,Potassium (mmol/L),Difference,4887,597.0,-0.1265364785720052,0.02683411045208677,3626.360225498853,-0.12242878708344664,0.030904886857603522,3626.6746437802194,0.0881951832375448,0.040895909519531745,3628.043698428718,1.151701559579747,0.3144182813662155
liver_condition_binary,Liver Condition,LBDHDD,HDL Cholesterol (mg/dL),LBXSKSI,Potassium (mmol/L),Ratio,4895,270.0,-0.16975339015873486,0.013708373070065578,2087.0473549358967,-0.16468407341601082,0.0159777336368401,2087.3599135502245,0.053018467144022675,0.3925141995211171,2092.7750108685455,1.1655455797106975,0.31255861432782694
liver_condition_binary,Liver Condition,LBXGLU,Fasting Glucose (mg/dL),LBXSAL,Albumin (g/dL),Ratio,2378,132.0,0.2521417648758671,2.4247054735983355e-05,1009.4947303977115,0.25470598484462476,3.0314830935699226e-05,1009.8058122002587,-0.08629652109999802,0.32695249735571696,1022.8640812144866,1.2502479689094408,0.31108180254727813
