Biomarker_A,Biomarker_B,Gate_Type,N_Both,beta_A,beta_B,beta_int,z_int,p_int,dep_rate_both,dep_rate_control,FDR_q
systolic_bp,LBXGH,High-High,140,0.13697732074744143,0.5336136398352895,-0.8078049971281105,-2.176281582885724,0.029534211809083118,0.07142857142857142,0.08586762075134168,0.8829995525349683
systolic_bp,LBXSAPSI,TwoSided,194,0.12198322570946978,0.3090469398490436,-0.6785650405624627,-2.167119120300829,0.030225772352309412,0.07216494845360824,0.0859312549960032,0.8829995525349683
BMXBMI,LBXTC,Low-Low,60,-0.04346075214629791,-0.04762667321619778,0.8801633079612823,2.1579552853652157,0.03093130847101392,0.16666666666666666,0.08519029777164268,0.8829995525349683
LBDHDD,LBXPLTSI,Low-Low,37,0.5059295578031986,-0.16494536651845532,0.9698142795194338,2.1403957231905557,0.03232279987029103,0.21621621621621623,0.0851942941465814,0.8829995525349683
LBDHDD,LBXSCR,TwoSided,66,0.002490930258514833,-0.009790510326695886,0.8764856038743918,2.129736196655643,0.033193398843385825,0.16666666666666666,0.0851420678768745,0.8829995525349683
LBXSKSI,LBXSCA,Low-High,79,0.046786157565745445,0.20067476529338993,-1.5631540113036946,-2.1203899449603396,0.03397317396324797,0.02531645569620253,0.08614047219203794,0.8829995525349683
LBXTC,LBXSNASI,High-High,89,0.18754337509279598,0.19138435071482737,-1.134627766128757,-2.1176383982999716,0.03420570359681389,0.0449438202247191,0.08602788490062296,0.8829995525349683
LBXTC,LBXSAL,High-Low,84,0.1969206347583188,0.38313164483651985,-1.0245198457078235,-2.1012555032645395,0.03561854352479145,0.05952380952380952,0.08588653884166832,0.8829995525349683
systolic_bp,LBXSAL,High-High,58,-0.01792791863536151,-0.0937202969750951,0.8433166199045427,2.080021353119817,0.03752357435925602,0.15517241379310345,0.08527208201892744,0.8829995525349683
diastolic_bp,LBXSBU,Low-High,117,0.0845746993833268,0.19963216706361145,-1.0338450027449124,-2.0776315840442745,0.03774330484128596,0.042735042735042736,0.08616757560733763,0.8829995525349683
LBDHDD,LBXSATSI,TwoSided,138,-0.025346461919573137,0.14321660934136682,0.6332175367148459,2.064237342816669,0.03899521850405639,0.14492753623188406,0.08485691573926868,0.8829995525349683
LBXGLU,LBXTC,High-High,42,0.8028797168891812,0.15795030955196715,-1.5544631898094288,-2.06359190053418,0.03905642618652948,0.047619047619047616,0.08582677165354331,0.8829995525349683
LBXSATSI,LBXSCA,TwoSided,132,0.14479504603038507,-0.025406676319505345,0.6183558053629281,2.0266527177284646,0.04269794113406793,0.15151515151515152,0.08480635551142006,0.8829995525349683
LBDHDD,LBXSASSI,High-High,49,-0.3521772050835094,0.17773510161414477,0.9027891822472932,2.0110406805835166,0.04432115997074095,0.16326530612244897,0.08529498670343741,0.8829995525349683
